1,American Physical Society (APS)
4,AIP Publishing
5,American Astronomical Society
6,Springer Science and Business Media LLC
7,IOP Publishing
8,Oxford University Press (OUP)
12,Springer Netherlands
16,Elsevier BV
18,Optica Publishing Group
26,Cambridge University Press (CUP)
35,Springer Berlin Heidelberg
36,World Scientific Pub Co Pte Lt
37,SPIE-Intl Soc Optical Eng
42,Physical Society of Japan
46,Institute of Mathematical Statistics
52,Wiley
55,American Chemical Society (ACS)
64,IOS Press
67,EDP Sciences
76,Pleiades Publishing Ltd
86,American Geophysical Union (AGU)
91,Informa UK Limited
107,AIP
116,""
129,Institute of Electrical and Electronics Engineers (IEEE)
144,Annual Reviews
172,Mathematical Sciences Publishers
191,Association for Computing Machinery (ACM)
221,Cambridge University Press
230,IEEE
233,WORLD SCIENTIFIC
269,European Optical Society
273,National Library of Serbia
280,World Scientific Publishing Company
292,Walter de Gruyter GmbH
358,European Mathematical Society - EMS - Publishing House GmbH
368,Canadian Science Publishing
378,FapUNIFESP (SciELO)
477,The Royal Society
494,Birkhäuser Basel
